name,province,district,address,hospital_type,image_url,latitude,longitude,source
Lakecity Hospital and Critical Care Pvt.Ltd,Gandaki,,,,,,,NSSD
Lamjung Hospital,Gandaki,,,,,,,NSSD
Dhaulagiri Zonal Hospital,Gandaki,,,,,,,NSSD
Beni Hospital,Gandaki,,,,,,,NSSD
Syangja District Hospital,Gandaki,,,,,,,NSSD
Parbat District Hospital,Gandaki,,,,,,,NSSD
Gorkha Hospital,Gandaki,,,,,,,NSSD
Damauli Hospital,Gandaki,,,,,,,NSSD
Madhyabindu District Hospital,Gandaki,,,,,,,NSSD
Lumbini Provincial Hospital,Lumbini,,,,,,,NSSD
District Hospital Bardia,Lumbini,,,,,,,NSSD
Rapti Zonal Hospital,Lumbini,,,,,,,NSSD
Siddharthanagar City Hospital,Lumbini,,,,,,,NSSD
Gautam Buddha Community Heart Hospital,Lumbini,,,,,,,NSSD
Bheri Zonal Hospital,Lumbini,,,,,,,NSSD
Crimson Hospital,Lumbini,,,,,,,NSSD
Rapti Sub Regional Hospital,Lumbini,,,,,,,NSSD
Sushil Koirala Prakhar Cancer Hospital,Lumbini,,,,,,,NSSD
Siddhababa Hospital and Research Center,Lumbini,,,,,,,NSSD
R.C. Tharu Memorial City Hospital,Lumbini,,,,,,,NSSD
"Mid-Western Regional Hospital, Surkhet",Karnali,,,,,,,NSSD
Seti Zonal Hospital,Karnali,,,,,,,NSSD
Mahakali Hospital,Karnali,,,,,,,NSSD
Ghodaghodi Hospital Pvt.Ltd,Karnali,,,,,,,NSSD
कोप्ची शहरी स्वास्थ्य केन्द्र,Karnali,Surkhet,,hospital,,28.424368,81.844351,HDX_OSM
"Harati mata, Chamati",Bagmati,Kathmandu,,doctors,,27.717097,85.298538,HDX_OSM
Khowpa Home Health Care Center,Bagmati,Bhaktapur,,clinic,,27.675149,85.437011,HDX_OSM
Damak Red Cross Society,Koshi,Jhapa,,hospital,,26.656579,87.703874,HDX_OSM
Kathmandu Institute of Child Health (KIOCH),Koshi,Jhapa,,hospital,,26.656964,87.704134,HDX_OSM
Kakrebihar Dental Clinic,Karnali,Surkhet,,dentist,,28.791895,81.3891,HDX_OSM
Sagarmatha Dental Clinic,Gandaki,Tanahu,Shuklagandaki Municipality,dentist,,28.055087,84.072596,HDX_OSM
"Community Health Unit, Simta Chaur",Karnali,Surkhet,,clinic,,28.862985,81.451768,HDX_OSM
Dulatthai Basic Health Service Center,Karnali,Surkhet,,clinic,,28.813818,81.372196,HDX_OSM
Hasegaun Basic Health Service Center,Karnali,Surkhet,,clinic,,28.815339,81.476668,HDX_OSM
Baraiche Basic Health Post,Karnali,Surkhet,,clinic,,28.80006,81.409436,HDX_OSM
Babiyachaur Health Post,Karnali,Surkhet,,clinic,,28.796771,81.391645,HDX_OSM
Sambanda Polyclinic and Dygnostic Center,Karnali,Surkhet,,clinic,,28.793662,81.384965,HDX_OSM
Chhapre Health Post,Karnali,Surkhet,,clinic,,28.889953,81.415087,HDX_OSM
"Community Health Unit, Paisara",Karnali,Surkhet,,clinic,,28.866323,81.432394,HDX_OSM
"Community Health Unit, Sanne daha",Karnali,Surkhet,,clinic,,28.839574,81.382882,HDX_OSM
Chature Basic Health Service Center,Karnali,Surkhet,,clinic,,28.811245,81.39608,HDX_OSM
Latikanda Community Health Unit,Karnali,Surkhet,,clinic,,28.84301,81.417191,HDX_OSM
Tokma Basic Health Care Center,Karnali,Surkhet,,clinic,,28.790619,81.414675,HDX_OSM
"Primary Health Post, Salkot",Karnali,Surkhet,,clinic,,28.793203,81.430547,HDX_OSM
Dr Pradeep Neupane house,Bagmati,Chitwan,,doctor,,27.652028,84.422099,HDX_OSM
भालुवाङ अस्पताल,Lumbini,Dang,भालुवाङ,hospital,,27.843592,82.770022,HDX_OSM
Subhalav Dental Clinic,Bagmati,Lalitpur,,dentist,,27.66756,85.322807,HDX_OSM
Ziya Health Care and Diagnostic Center Polyclinic Pathology and Shahjan Pharmacy,Lumbini,Rupandehi,,yes,,27.476557,83.471672,HDX_OSM
Kandu Pharmacy,,,,clinic,,27.476339,83.471917,HDX_OSM
HRL & Clinic,Bagmati,Lalitpur,,clinic,,27.66703,85.324299,HDX_OSM
Ghatgau HP,Karnali,Surkhet,,hospital,,28.757376,81.261873,HDX_OSM
Koiralbas Community Health Service,Karnali,Surkhet,,hospital,,28.910459,81.310773,HDX_OSM
Dhamidanda Basic Health Service Center,Karnali,Surkhet,,clinic,,28.842726,81.304619,HDX_OSM
Kumala Community Health Service,Karnali,Surkhet,,clinic,,28.791876,81.241075,HDX_OSM
लक्ष्मीपुर स्वास्थ्य चौकी,Lumbini,Dang,,hospital,,28.076786,82.315192,HDX_OSM
Mayataal Basic Health Service Center,Karnali,Surkhet,,hospital,,28.840333,81.269903,HDX_OSM
Salma Basic Helth Service Center,Karnali,Surkhet,,hospital,,28.875045,81.33245,HDX_OSM
Gutu Health Post,Karnali,Surkhet,,hospital,,28.846882,81.315188,HDX_OSM
Raga Basic Health Service Center,Karnali,Surkhet,,clinic,,28.784016,81.324309,HDX_OSM
Siddhi Dental Care Pvt.Ltd,Bagmati,Bhaktapur,,dentist,,27.674414,85.371852,HDX_OSM
Health post,Lumbini,Kapilbastu,,clinic,,27.519945,83.167283,HDX_OSM
Medical Hall,Gandaki,Lamjung,,clinic,,28.2311,84.377277,HDX_OSM
Taal Barahi Dental Care Centre,Gandaki,Lamjung,,dentist,,28.23124,84.37739,HDX_OSM
Baspani Health Post,Karnali,Surkhet,,hospital,,28.864806,81.084402,HDX_OSM
Sobhanchaur Community Health Center,Karnali,Surkhet,,hospital,,28.830927,81.191062,HDX_OSM
Siddhartha City Hospital Pvt. Ltd.,Lumbini,Rupandehi,,hospital,,27.490435,83.448827,HDX_OSM
Kanda Health Post,Sudurpashchim,Bajhang,,hospital,,29.697779,81.368116,HDX_OSM
Talkot Hospital,Sudurpashchim,Bajhang,,hospital,,29.621305,81.200907,HDX_OSM
Talagaun Basic Health Service Center,Karnali,Surkhet,,hospital,,28.961466,81.089283,HDX_OSM
Ratu Healthpost Khop Kendra,Karnali,Surkhet,Birendranagar,hospital,,28.645857,81.682612,HDX_OSM
Balaudi Health Post,Sudurpashchim,Bajhang,,hospital,,29.767625,81.279546,HDX_OSM
Dhanras Basic Health Service Center,Karnali,Surkhet,,hospital,,28.933247,81.077168,HDX_OSM
Apson Piya Medical Hall,Gandaki,Lamjung,,clinic,,28.231544,84.377367,HDX_OSM
Betan Health Post,Karnali,Surkhet,,hospital,,28.884895,81.169245,HDX_OSM
Bidushi Medical Hall,Lumbini,Banke,,clinic,,28.055516,81.616137,HDX_OSM
Maha Guthi Polyclinic,Bagmati,Kathmandu,,clinic,,27.717656,85.306133,HDX_OSM
महिला स्वास्थ्य स्वयंसेविका,Lumbini,Dang,,yes,,27.837627,82.628049,HDX_OSM
आधारभुत स्वास्थ्य सेवा केन्द्र,Lumbini,Dang,राप्ती गाउँपालिका दाङ,yes,,27.837977,82.649857,HDX_OSM
महिला स्वास्थ्य स्वयमसेविका,Lumbini,Dang,राप्ती गाउँपालिका दाङ,yes,,27.831962,82.631901,HDX_OSM
Kunpen Tibetan Medical Center,Bagmati,Kathmandu,,centre,,27.721551,85.361393,HDX_OSM
Aadharbhut Health Center,Karnali,Surkhet,Birendranagar,hospital,,28.602349,81.597362,HDX_OSM
Aarogya Pharmacy and Chaudhary Medical,Lumbini,Rupandehi,,clinic,,27.476772,83.470677,HDX_OSM
Vijay Health Clinic,Lumbini,Rupandehi,,clinic,,27.50522,83.353334,HDX_OSM
राप्ती आयुर्वेदिक अस्पताल,Lumbini,Dang,,hospital,,28.16751,82.140536,HDX_OSM
मनमोहन मेमोरियल अस्पताल,Bagmati,Kathmandu,,hospital,,27.717939,85.311244,HDX_OSM
सुब्बा मेडिकल सेन्टर प्रा. लि,Bagmati,Kathmandu,,hospital,,27.73782,85.323041,HDX_OSM
नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,Bagmati,Kathmandu,,hospital,,27.701058,85.311634,HDX_OSM
आरोग्य स्वस्थ्य सदन,Bagmati,Lalitpur,,hospital,,27.673695,85.31184,HDX_OSM
Community Health Shobha,Karnali,Mugu,,clinic,,29.53006,82.226385,HDX_OSM
Jumlakot Health Post,Karnali,Jumla,,hospital,,29.194757,81.974357,HDX_OSM
Lamabagar birthing center,Karnali,Jumla,,hospital,,29.154288,82.07338,HDX_OSM
Ishwor Health Service,Karnali,Jumla,,clinic,,29.243166,82.105675,HDX_OSM
Private Health Clinic,Karnali,Jumla,,clinic,,29.2257,81.94966,HDX_OSM
Community health unit,Karnali,Jumla,,hospital,,29.252472,82.013444,HDX_OSM
Latikoili Healthpost,Karnali,Surkhet,Birendranagar,hospital,,28.57543,81.606238,HDX_OSM
Karnali Care Hospital,Karnali,Surkhet,Birendranagar,hospital,,28.598384,81.602037,HDX_OSM
Naulapur Healthpost,Karnali,Surkhet,Birendranagar,hospital,,28.591712,81.624639,HDX_OSM
Himani Health Clinic,Karnali,Surkhet,Birendranagar,clinic,,28.598424,81.580011,HDX_OSM
Siddhartha Health Clinic Centre,Lumbini,Rupandehi,,clinic,,27.492245,83.313025,HDX_OSM
Maya Devi Polyclinic,Lumbini,Rupandehi,,clinic,,27.505259,83.352921,HDX_OSM
माता मनकामना पोलिक्लिनिक,Lumbini,Dang,,clinic,,28.188506,82.134056,HDX_OSM
MHP Myalpokhari SHP,Lumbini,Gulmi,,hospital,,28.17043,83.0648,HDX_OSM
MHP Paudhi SHP,Lumbini,Gulmi,,hospital,,28.21747,83.22993,HDX_OSM
MHP Pipaldhara HP,Lumbini,Gulmi,,hospital,,28.08575,83.13937,HDX_OSM
Sijal Pharmacy,Lumbini,Rupandehi,,clinic,,27.519183,83.454507,HDX_OSM
MHP Sirseni SHP,Lumbini,Gulmi,,hospital,,28.18656,83.09407,HDX_OSM
MHP Wagla SHP,Lumbini,Gulmi,,hospital,,28.15858,83.11575,HDX_OSM
Indra Pharmacy  and Health Clinic,Lumbini,Rupandehi,,clinic,,27.518569,83.449991,HDX_OSM
Sairam Homiyo Pharmacy,Lumbini,Rupandehi,,clinic,,27.516386,83.45168,HDX_OSM
Aarogya Hospital,Lumbini,Rupandehi,,hospital,,27.52716,83.455802,HDX_OSM
Bhim Hospital,Lumbini,Rupandehi,,hospital,,27.506159,83.454439,HDX_OSM
Bindhabashini Health Clinic,Lumbini,Rupandehi,,clinic,,27.522071,83.455151,HDX_OSM
Deluxe Pharma,Lumbini,Rupandehi,,clinic,,27.506238,83.453414,HDX_OSM
Sanvi Pharm,Lumbini,Rupandehi,,clinic,,27.516231,83.452489,HDX_OSM
Aashank Medical Hall,Lumbini,Rupandehi,,clinic,,27.516249,83.45222,HDX_OSM
Lumbini Dental Clinic,Lumbini,Rupandehi,,dentist,,27.506014,83.45354,HDX_OSM
Bijaya Health Care Center and Bijaya Pharmacy,Lumbini,Rupandehi,,clinic,,27.503535,83.453788,HDX_OSM
Modern pharmacy,Lumbini,Rupandehi,,clinic,,27.516326,83.452762,HDX_OSM
Hamro Dental Clinic,Lumbini,Rupandehi,,dentist,,27.514163,83.453984,HDX_OSM
NIschal Pharmacy,Lumbini,Rupandehi,,clinic,,27.512603,83.45447,HDX_OSM
Medico Pharma,Lumbini,Rupandehi,,clinic,,27.510342,83.449228,HDX_OSM
Melcham Health Post,Karnali,Humla,,birthing_centre,,29.764653,82.036269,HDX_OSM
